"code","text"
"6933",""
"6934",""
"6935",""
"6936",""
"6937",""
"6938",""
"6939",""
"694",""
"6940",""
"6941",""
"6944",""
"6945",""
"695",""
"6950",""
"6952",""
"6953",""
"6954",""
"6955",""
"6956",""
"6957",""
"6958",""
"6960",""
"6961",""
"6963",""
"6966",""
"6967",""
"6968",""
"6969",""
"6970",""
"6972",""
"6973",""
"6974",""
"6975",""
"6977",""
"6978",""
"6979",""
"698",""
"6980",""
"6981",""
"6982",""
"6983",""
"6984",""
"6985",""
"6986",""
"6987",""
"6988",""
"6989",""
"6990",""
"6992",""
"6993",""
"6994",""
"6995",""
"6996",""
"6997",""
"6998",""
"6999",""
"7005",ETHNIC MINORITIES & WOMEN
"7006",ELEMENTARY SCHOOL PROJECT
"7007",LITERACY SEC SHL PROG
"7008",PUBLIC UNDERSTAND SCIENCE
"7009",SciSIP-DDRIG
"701",""
"7021","""CAUSE"
"7022","""CAUSE"
"7100",YOUNG SCHOLARS PROGRAM
"7111",SCIENCE ED FOR PRE-COLLEG
"7112",SAGE
"7113",GAGE
"7130",GRADUATE STUDENT SUPPORT
"7131",GRADUATE FELLOWSHIPS FY71
"7135",GRAD TRAINING CATEGORICAL
"7137",POSTDOCTORAL FELLOWSHIPS
"7143",GRAD FELLOWSHIPS FY 73
"7144",GRADUATE FELLOWSHIPS-FY74
"7145",GRAD FELLOWSHIPS- FY 75
"7146",GRAD FELLOWSHIPS-F.Y. 76
"7147",GRADUATE FELLOWSHIPS-FY77
"7148",GRAD FELLOWSHIPS-FY78
"7149",GRADUATE FELLOWSHIPS-FY79
"7150",GRADUATE FELLOWSHIPS-FY80
"7151",GRADUATE FELLOWSHIPS-FY81
"7152",GRADUATE FELLOWSHIPS FY82
"7153",GRAD RES FELLOWSHIPS-FY83
"7154",GRADUATE FELLOWSHIPS-FY84
"7155",GRADUATE FELLOWSHIPS-F.Y.85
"7156",GRADUATE FELLOWSHIPS - FY-86
"7157",GRADUATE FELLOWSHIPS - FY-87
"7158",GRADUATE FELLOWSHIPS - FY-88
"7159",GRADUATE FELLOWSHIPS - FY-89
"7160",GRADUATE FELLOWSHIPS-FY-90
"7161",MINORITY GRAD FELLOWSHIPS-FY81
"7162",MINORITY GRAD FELLOWSFY82
"7163",MINOR RES GRAD FELLOWS 83
"7164",MINORITY GRAD FELLS-FY-84
"7165",MINORITY GRAD FELLOWSHIPS-FY85
"7166",MINORITY GRAD FELLOWSHIPS FY86
"7167",MINORITY GRAD FELLOWSHIPS-FY87
"7168",MINORITY GRADUATE FELLOW-FY-88
"7169",MINORITY GRAD FELLOWSHIPS FY89
"7170",MINOR GRAD FELLOWSHIPS-FY-90
"7172",GRADUATE RESEARCH FELLOWSHIPS
"7173",GRADUATE TRAINEESHIPS PROGRAM
"7174","""POSTDOC FELLOW IN SCI"
"7175",MINORITY GRADUATE FELLOWSHIPS
"7179",GRAD TEACHING FELLOWS IN K-12
"7180",EDUCATIONAL RESEARCH INITIATIV
"7181",CENTERS FOR LEARNING & TEACHIN
"7182",MINORITY POSTDOC RSRCHFLLW-EXT
"7184",MINORITY POSTDOC RSRCH STARTER
"7187",MICROBIAL GENOME SEQUENCING
"7201",NUCLEAR ASTROPHYSICS
"7202",STCs -2013 Class
"7210",CAR SEC SCHL PROG MAT NL
"7211",CAR SEC SCHL PROG MAT LPY
"7212",CAR SEC SCHL PROG MAT LSI
"7213",STC CLASS OF 2002
"7214",HIGHLY DEPENDABLE COMPUTING
"7215",OPPORTUNITIES FOR RESEARCH CMG
"7216",FRONTIERS IN BIO RES (FIBR)
"7217",RESEARCH INFRASTRUCTURE IMPROV
"7218",RET SUPPLEMENTS
"7219",NANOTECHNOLOGY UNDERGRAD EDUCA
"7220",ALT IN HIGHER ED - MAT
"7222",XC-Crosscutting Activities Pro
"7225",ALTERNATIVE DEGREES
"7226",HUMAN RESOURCES
"7227",ITEST
"7228",DATA AND APPLICATIONS SECURITY
"7229",MATHEMATICAL SCIENCES
"723",SHARED SERVICES
"7230",PRE-COLLEGE MATRLS-ELEMEN
"7231",CYBERINFRASTRUCTURE
"7232",MATHEMATICAL GEOSCIENCES
"7235",Particle Astrophysics/Undergro
"7236","""BIOPHOTONICS"
"7237",NANO NON-SOLIC SCI & ENG AWD
"7238",SBE Data Surveys & Studies
"7239",Algorithms in the Field
"7240",LIT SEC SCHL PROG MAT NL
"7241",Physics Instrumentation
"7242",ECOLOGY OF INFECTIOUS DISEASES
"7243",Accelerator Science
"7244",COMPUTATIONAL PHYSICS
"7245",PHYSICS GRID COMPUTING
"7246",PHYSICS OF LIVING SYSTEMS
"7247",LOCAL & REG TEACHER DEVEL
"7250",RESEARCH INITIATION & SUP
"7251",EIN
"7252","""PERCEPTION"
"7253",NETWORK RESEARCH TESTBEDS
"7255",GEOINFORMATICS
"7256",""
"7257",APPLICATS OF ADVANCED TECHNOLS
"7258",RESEARCH IN TEACHING & LEARNIN
"7259",AISL
"7260",DISSEMINATION
"7261",PROGRAM EVALUATION
"7262",RESEARCH ACTIVITIES
"7263",NETWORKING INFRASTRUCT-EDUCAT
"7264",CCRI-DEC MAKING UNDER UNCERTAI
"7265",EMP IMPL OF THEORETICAL MODELS
"7266",ENHANCING HUMAN PERFORMANCE
"7269",EARTH SCOPE
"7271",TEACHER PROFESSIONAL CONTINUUM
"7273",ENVIRONMENTAL RESEARCH & EDUCA
"7274",HUMAN LANGUAGE & COMMUNICATION
"7275",CROSS-EF ACTIVITIES
"7276",APPROACHES TO COMBAT TERRORISM
"7277",SCIENCE OF LEARN CTR-CATALYSTS
"7278",SCIENCE OF LEARN CTRS- CENTERS
"7279",""
"7280",GEOBIOLOGY
"7281",QIS - Quantum Information Scie
"7282",Midscale Physics Projects
"7283",INTERDISCIPLINARY MATH
"7284",FRONTIERS IN POLAR GENOMICS
"7293",DISASTER RESPONSE TEAMS
"7294",SCIENCE & ENGINEERING INFORMAT
"7295",GEOBIOLOGY & LOW TEMP GEOCHEM
"7298",COLLABORATIVE RESEARCH
"7299",Catalyzing New Intl Collab
"730",""
"7300",TEACHER ENHANCEMENT PROGRAM
"7304",ERE General
"7305",BE-UF: WATER CYCLE
"7306",BE-UF: CARBON CYCLE
"7307",BE-UF: BIOGEOSCIENCES
"7308",BE-UF: ECOL OF INFECTIOUS DISE
"7310",BE: CARBON & WATER IN ES
"7311",CAR SEC RES PERS WKSH LPY
"7312",CAREERS-SEC SUPER (LSI)
"7313",REGIONAL INST FOR GLOBAL CHANG
"7314",ITR FOR NATIONAL PRIORITIES
"7315",ITR RESERVE FY 2005 AND ON
"7316",EAPSI
"7317",INTERDISC TRNG IN BIO & MATH
"7318",HSD - AGENTS OF CHANGE
"7319",HSD - DYNAMICS OF HUMAN BEHAVI
"7320",ELEM SCHL RES PERS WKSHOP
"7321",SCIENCE CURRICULUM IMPROV
"7322","""HSD - DEC"
"7323",HSD - SPATIAL SOCIAL SCIENCE
"7324",HSD - MODELING HSD
"7326",HSD - GENERAL
"7327",CRCNS
"7328",ICSU
"7329",COMPILERS
"7330",LIT-SEC SUPS & ADS (NL)
"7332",LIT SEC RES PERS WKSH LSI
"7333",MATHEMATICAL SCIENCES RES INST
"7334",MATHEMATICAL BIOLOGY
"7335",WORKFORCE IN THE MATHEMAT SCI
"7339",COMPUTER VISION
"734",""
"7340",RESOURCE PERSONNEL WKSPS
"7345",PRES AWARDS FOR EXCEL IN SCIEN
"7346",LEADERSHIP ACTIVS FOR PRECOLLE
"7347",URBAN SYSTEMIC PROGRAM
"7348",TEACHER PREPARATION PROGRAM
"7349",PR FOR RES & EDU W/SM TELESCOP
"7350",NAT ECOLOGICAL OBSERVATORY NET
"7351",THEORETICAL FOUNDATIONS (TF)
"7352",COMPUTING PROCESSES & ARTIFACT
"7353",EMERGING MODELS & TECHNOLOGIES
"7354",COMPUTER SYSTEMS
"7355",INSTRUCTIONAL MATERIALS DEVELP
"7356",SCIENCE & MATH EDUCATION NETWR
"7357",PRIVATE SECTOR PARTNERSHIPS
"7358",URBAN SYSTEMIC INITIATIVE PROG
"7359",COMPUTING RES INFRASTRUCTURE
"7360",STATEWIDE SYSTEMIC INITIATIVES
"7361",EDUCATION AND WORKFORCE
"7363",RES IN NETWORKING TECH & SYS
"7364",INFO INTEGRATION & INFORMATICS
"7365",EDUCATIONAL SYSTEM REFORM
"7366",RURAL SYSTEMIC INITIATIVE PROG
"7367",Cyber-Human Systems (CHS)
"7368",SCI TESTBEDS
"7369",INTERNATIONAL RES NET CONNECT
"7371",CYBER TRUST
"7372",ITR-SCIENCE OF DESIGN
"7373",ITR-INFORMATION INTEGRATION
"7374",Systematics & Biodiversity Sci
"7375",Advanc Revisionary Taxon & Sys
"7376",PARTNER TO ENHANCE EXP IN TAX
"7377",EVOLUTIONARY ECOLOGY
"7378",EVOLUTIONARY GENETICS
"7380",NAT CENTER FOR ECOLOG AN & SYN
"7381",ECOSYSTEM SCIENCE CLUSTER
"7382",Computing Ed for 21st Century
"7396",NEES RESEARCH
"7397",MATHEMATICAL SOC & BEHAV SCI
"7398",OCEAN OBSERVATORY SCI & TECH
"7399",CISE MINOR INST INFRA (MII) PR
"7400",UNDERGRAD INSTRM & LAB IMPROVE
"7407",RSVP PLANNING
"7410",DUE COURSE & CURRICULUM PROG
"7411",CAREERS-SEC TEACH (LPY)
"7412",ADVANCED TECH EDUCATION PROG
"7413",CAR SEC TCHR TRNG PRO LC
"7414",NSF Public Access Initiative
"7416",COURSE & CURRICULUM-CALCULUS
"7417",S AND T HIGH-END COMPUTING
"7418",COURSE & CURRICULUM-ENGINEERNG
"7419",INTRODUCT CURRICULUM PROJECTS
"7420",ALT IN HI ED COL TEACHPRO
"7422",SCIENCE FAC PROF DEV-FELL
"7424",FACULTY RESEARCH PARTICIP
"7425",COLLEGE FACULTY SHORT COURSES
"7426",CCLI-ADAPTATION AND ADOPTION
"7427",CCLI-EDUCATIONAL MATERIALS DEV
"7428",CCLI-ADAPTATION AND IMPLEMENTA
"7429",CCLI-NATIONAL DISSEMINATION
"7430",UNDERGRAD FACULTY ENHANC PROGR
"7431",CCLI - ASA
"7435",IRIS
"7436",DIGITAL LIBRARIES
"7437",CENTRES FOR OCEAN SCI EDU EXCE
"7440",CAREER ACCESS OPPOR IN S&T
"7441",LIT SEC TCHR TRAIN PROLPY
"7442",LIT SEC TCHR TRNG PRO LSI
"7443",LIT SEC TCHR TRNG PRO LC
"7444",NATIONAL SMETE DIGITAL LIBRARY
"7445",CLEANER
"7446",MATH PRIORITY SOLICITATION
"7447",SENSORS SOLICITATION
"7450",ALT IN HIGH ED-INST SC EQ
"7453",GRAPHICS & VISUALIZATION
"7454",MSPA-INTERDISCIPLINARY
"7456",ITR-CYBERTRUST
"7457",NANOSCALE SCIENCE & ENG EDUCAT
"7458",GEOMORPHOLOGY & LAND USE DYNAM
"7459",SEDIMENTARY GEO & PALEOBIOLOGY
"7460",ALTS IN HIGH ED-FOR EN SC
"7463",RADIUS
"7466",HIGHER ED CTRS FOR LEARN&TEACH
"7469",ITR-HEC
"7470",NEES OPERATIONS
"7471",DEVELOPMENTAL BIOLOGY CLUSTER
"7472",BEHAVIORAL SYSTEMS CLUSTER
"7473",FUNCTIONAL & REGULATORY SYS CL
"7474",ENVIRON & STRUCTURAL SYS CL
"7475",HEC CORE FACILITIES
"7476",ETF
"7477",CI-TEAM
"7478",DYNAMICAL SYSTEMS
"7479",Biomechanics & Mechanobiology
"7481",DYNAMIC DATA DRIVEN APPL SYSTS
"7482",BROADENING PARTIC IN COMPUTING
"7484",IIS SPECIAL PROJECTS
"7485",DATA MANAGEMENT SYSTEMS
"7486",INFORMATION PRIVACY & SECURITY
"7487",BROADENING PARTICIPATION
"7489",NSF-HUD PATH PROGRAM
"7490",RESEARCH & PROB ASSESSMET
"7491",ETHICS EDU FOR SCI & ENG PROG
"7492",CCLI-Type 2 (Expansion)
"7493",CCLI-Type 3 (Comprehensive)
"7494",CCLI-Type 1 (Exploratory)
"7495",ROBUST INTELLIGENCE
"7496",COLLABORATIVE SYSTEMS
"7510",ALTERNATIVES -GRAD ED
"7511",TUES-Type 2 Project
"7512",TUES-Type 3 Project
"7513",TUES-Type 1 Project
"7514",TUES-Central Resource Project
"7520",CONTINUING EDUCATION
"7535",WOMEN IN SCIENCE
"7536",MINORITIES IN SCIENCE
"7537",PHYSICAL. HANDICAP. IN SC
"7540",PRE-COLLEGE TEACHER DEVEL
"7550",Eval & Assessment Capabilites
"7552",COFFES
"7553",PHYSICS AT THE INFO FRONTIER
"7555",STC CLASS OF 2005
"7558",NEXT GENERATION CYBERTOOLS
"7564","""COMMS"
"7567","""SOC STUDIES OF SCI"
"7568",ADVANCE-PAID
"7569","""Dynamics"
"7570",SURFACE EARTH PROCESS SECTION
"7571",DEEP EARTH PROCESSES SECTION
"7572",""
"7575",INTERNAT. BIOLOGICAL DIVERSITY
"7577",PLANT GENOME RESEARCH RESOURCE
"7580",DEVELOPMENT FUND FOR AFRICA
"7581",ITR-DYNAMIC DATA DRIV APP SYS
"7582",HURRICANE KATRINA
"7583",ITR-HECURA
"7584",ITR-BROADENING PARTICIPATION
"7592",COASTAL OCEAN PROCESSES
"7593",FIELD STATIONS AND MARINE LABS
"7594",AMS FACILITY
"7596",REGIONAL RESEARCH VESSELS
"7598",INTL IODP ACTIVITIES
"7599",INTERNATIONAL MATERIALS INSTIT
"7601",National Nanotechnology Coordi
"7602",INFORMATION INTEGRATION
"7603","""SCIENCE"
"7604",NANOSIMULATON GROUPS/NETWORK
"7605",DDRI Cult Anthro
"7606",DDRI Archaeology
"7607","""ENERGY"
"7608",DDRI Bio Anthro
"7609",IUCRC FUNDAMENTAL RESEARCH
"761",""
"7611",GEO TEACH
"7612",SPECIAL PROJECTS (SCIENCE EDUC
"7613",EXPERIMENTAL PROJECTS
"7614",STCs - 2006 CLASS
"7615",STUDENT-ORIGINATED PROG
"7616",SECON SCHOOL STUDENT TRAI
"7617",UNDERGRAD STUDENT PROJECT
"7618",ACAD FOR YOUNG SCIENTISTS
"7619",EQUIPMENT ACQUISITIONS
"7621",PHYSICS-BROADEN PARTICIPATION
"7622",GEO-LSAMP LINKAGES
"7623",BIOMATERIALS PROGRAM
"7625",REAL
"7626",SCIENCE OF SCIENCE POLICY
"7627",ETHNIC MINOR.-EXPER PROJ
"7628",STUDIES--WOMEN
"7629",EXPERIMENTAL PROJ.--WOMEN
"7630",ETHNIC MIN.-COLLEGE PROJ.
"7631",ITR-NeTS
"7632",HUMAN-ROBOT INTERACTION
"7633",EFRI RESEARCH PROJECTS
"7634",BIO CENTERS
"7635",iPLANT Collaborative
"7636",NESCENT
"7637",NANTOXICOLOGY
"764",""
"7640",CPATH
"7641",INT'L RES & EDU IN ENGINEERING
"7642",VIRTUAL ORGANIZATIONS
"7643",ENVIRONMENTAL SUSTAINABILITY
"7644",ENERGY FOR SUSTAINABILITY
"7645",DISCOVERY RESEARCH K-12
"7646",DR-K12 APPLIED RESEARCH
"7647",DR-K12 RESOURCES AND TOOLS
"765",""
"7651",OTHER COLLABORATIONS
"7652",SCIENCE OF DESIGN
"7653",EXPLOSIVES & RLTD THREATS EXP
"7655",ITR-CreativeIT
"7656",SYMBIOSIS DEF & SELF RECOG
"7657",Integrative Ecologi Physiology
"7658",Physiolg Mechansms&Biomechancs
"7659",ANIMAL BEHAVIOR
"7664",THEORETICAL BIOLOGY
"7666",EARMARKED PROGRAM FUNDS
"7668",NON-LIM UNOBLIGATED BALANCES
"7680",ENG DIVERSITY ACTIVITIES
"7681",ENG NNI SPECIAL STUDIES
"7682",PAARE
"7683",SOFTWARE DEVELOPEMENT FOR CI
"7684",CESER-Cyberinfrastructure for
"7685",SMALL INSTRU PROG-2/4YR C
"7686",EARMARKED CARRYOVER-RRA
"7688","""SCIENCE"
"7689",ASSEMBLING THE TREE OF LIFE
"7690",ADVANCE - IT-START
"7691",PetaApps
"7693",CZO: CRITICAL ZONE OBSER SOLIC
"7694",UNDERGROUND R&D
"7696",CI Fellowships
"7698",CATALYZING INTERDISCIP ACTIVIT
"7699",ICER
"7700",EDUCATIONAL LINKAGES
"7701",DATA INTEROPERABILITY NETWORKS
"7702",SOCIETAL IMPLICATIONS OF NANO
"7703",FOUNDATIONS VISUAL ANALYTICS
"7704",Science of Learning Activities
"7705",EUROCORES
"7708",IPDR-SBE
"7710",PROGRAM RESERVE
"7711",INTERNATIONAL POLAR YEAR
"7712",ORGANIZATION
"7713",ACTIVATION
"7714",MODULATION
"7716",MID-SIZE INFRASTRUCTURE
"7719",DEL
"7720",CEIN
"7723",EXPERIMENTAL EXPEDITIONS
"7724",SOFTWARE FOR REAL-WORLD SYSTMS
"7726",DATANET
"7727",IRES
"7728",PASI
"7731",OTHER GLOBAL LEARNING & TRNING
"7732",NIMBios
"7734",NANO CTR FOR LEARN & TEACHING
"7735",NANO EHS CORE
"7737",CHEMISTRY NHMFL
"7741",BROAD PARTIC IN ENG (BRIGE)
"7742",PIRE
"7743",INCF
"7745",SCIENCE FOR CITIZENS
"7750",CDI TYPE I
"7751",CDI TYPE II
"7760",MSP-START PARTNERSHIPS
"7761",MSP-PHASE II PARTNERSHIPS
"7764",EMERGING TOPICS
"7770",RESRCH IN SCIENCE EDUCATION
"7771","2-YR COLLEGE ASSESSMENT"
"7772",NSF/NIE COLLABORATIVE PRG
"7773",""
"7775",DEVELOP IN SCIENCE EDUCATION
"7781",PETASCALE - TRACK 1
"7782",CLUSTER EXPLORATORY (CLuE)
"7783",UNGRAD RES MENTORING IN BIO
"7784",CEIN-CTR ENVIR IMPL OF NANO
"7785",ITR - DATANET
"7786",MCDA
"7787",EESE
"7788",CreativeIT
"7789",UARS SPECIAL PROGRAMS
"7790",LARS SPECIAL PROGRAMS
"7791",ULAFOS SPECIAL PROGRAMS
"7792",AMER COMPETITIVENESS FELLOWS
"7793",DATA-INTENSIVE COMPUTING
"7794",NETWORK SCIENCE & ENGINEERING
"7795",TRUSTWORTHY COMPUTING
"7796",ALGORITHMIC FOUNDATIONS
"7797",COMM & INFORMATION FOUNDATIONS
"7798",SOFTWARE & HARDWARE FOUNDATION
"7801",""
"7802",""
"7803",""
"7804",""
"7809",""
"7810",""
"7812",""
"7815",""
"7816",""
"7817",""
"7819",""
"7820",""
"7821",""
"7822",""
"7823",""
"7824",""
"7825",""
"7826",""
"7827",""
"7828",""
"7829",""
"7830",""
"7831",""
"7832",""
"7833",""
"7834",""
"7835",""
"7836",""
"7837",""
"7840",""
"7841",""
"7842",""
"7843",""
"7844",""
"7845",""
"7846",""
"7847",""
"7848",""
"7849",""
"7850",""
"7851",""
"7852",""
"7854",""
"7855",""
"7856",""
"7857",""
"7858",""
"7859",""
"7860",""
"7861",""
"7862",""
"7863",""
"7864",""
"7866",""
"7869",""
"7871",""
"7874",""
"7875",""
"7876",""
"7877",""
"7878",""
"7879",""
"7880",""
"7881",""
"7882",""
"7883",""
"7884",""
"7885",""
"7888",""
"7890",""
"7891",""
"7892",""
"7893",""
"7894",""
"7895",""
"7898",""
"7899",""
"7900",TECH INNOVATION IN EDUC
"7904",UBM
"7905",MPS SUST ENERGY SCI
"7908",Teaching & Mstr Tchng Fellows
"7909",NANO-BIOSENSING
"7910",TECH & SYSTEMS
"7911",SRS SURVEY
"7912",PROBLEM ASSESSMENT
"7913",PREM
"7915",Ethics & Values of SET
"7917",NetS RESEARCH RESOURCES
"7918",CYBER-PHYSICAL SYSTEMS (CPS)
"7920",APPLICATIONS & COURSEWARE
"7921",APPLICATIONS
"7926",ALGORITHMS
"7927",COMPLEXITY & CRYPTOGRAPHY
"7928",QUANTUM COMPUTING
"7929",COMPUTATIONAL GEOMETRY
"7931",COMPUTATIONAL BIOLOGY
"7932",COMPUT GAME THEORY & ECON
"7933","""NUM"
"7934",PARAL/DISTRIBUTED ALGORITHMS
"7935",COMM & INFORMATION THEORY
"7936",SIGNAL PROCESSING
"7937",NETWORK CODING AND INFO THEORY
"7938",SENSOR NETWORKS
"7939",WIRELESS COMM & SIGNAL PROCESS
"7940",MINORITY GRADUATE CENTERS
"7941",COMPUTER ARCHITECTURE
"7942",HIGH-PERFORMANCE COMPUTING
"7943",PROGRAMMING LANGUAGES
"7944",SOFTWARE ENG & FORMAL METHODS
"7945",DES AUTO FOR MICRO & NANO SYST
"7946",BIO COMPUTING
"7947",NANOCOMPUTING
"7948",QUANTUM COMMUNICATION
"7950",DISSEMINATION/IMPLEMENTAT
"7951",ENG INTERDISC RES (IDR)
"7952",HECURA
"7953",SOCIAL-COMPUTATIONAL SYSTEMS
"7954",SANDPIT
"7955",CIGIE ASSESSMENT
"7957",RIC - Research Investment Comm
"7958",SCIENCE MASTERS PROGRAM
"7959",MACROSYSTEM BIOLOGY
"7960",EEC Innovation Awards
"7961",NSEC Fellowship
"7962","""ENV."
"7964",ANES
"7965",PSID
"7966",GSS-Sociology
"7967",EDUCATION AND WORKFORCE
"7968",Dimensions of Biodiversity
"7970",Combinatorics
"7972",Transforming Undergrad Bio Ed
"7973",Energy Recovery Linac
"7976",EARS
"7977",CR-Water Sustainability & Clim
"7978",Global Systems Science
"7980",Core R&D Programs
"8000",SCIENCE RESOURCES STUDIES
"8001",CRI-OA
"8002",NCAR-WY Supercomputer Center
"8003",Research Initiation Grants BIO
"8004",Software Institutes
"8005",STCs - 2010 Class
"8007",Environmental Synthesis Center
"8008",NSF/DOE Thermoelectric Partner
"8009",PLAN&POL STUD US/USSR ACT
"8010",Computing in the Cloud
"8011",Systems and Synthetic Biology
"8012","""CR"
"8013",National Robotics Initiative
"8015",BIO Innovation Activities
"8016",Front in Earth Sys Dynamics
"8017",BEACON
"8018",Smart and Connected Health
"8019",Accelerating Innovation Rsrch
"8020",Cyberlearn & Future Learn Tech
"8022",STAR Metrics
"8023",I-Corps
"8024",Sustainability Resrch Networks
"8026",Sustainable Energy Pathways
"8027",Cyber Secur - Cyberinfrastruc
"8028",Oceans and Human Health
"8029",Comp&Data Driven Mat Res(CDMR)
"8031",Science of Organizations
"8035",GSS-Economics
"8036",GSS-ST&S
"8037",GSS-Political Science
"8038",GSS-MM&S
"8039",GSS-Law&Social Science
"8041",Materials Teams
"8043",Geography & Spatial Scie-GSS
"8045",I-Corps - Nodes
"8046",I-Corps - Sites
"8047",NIGMS
"8048",Division Co-Funding: CAREER
"8049",BIO PostDocs
"8052",Inter Com Sci Econ Soc S (ICE)
"8054",Inters Biol and Math and Phys
"8055",SEES Fellows
"8060",Secure &Trustworthy Cyberspace
"8062",IGERT Chemistry
"8063",IGERT Physics
"8064",IGERT Materials Research
"8065",IGERT Astronomical Sciences
"8066",IGERT Mathematical Sciences
"8068",Data Infrastructure
"8069",CDS&E-MSS
"8074",EarthCube
"8075",SciSIP Infrastructure
"8076",GeoPRISMS
"8077",Science Across Virtual Instits
"8078",INSPIRE
"8080",Campus Cyberinfrastrc (CC-NIE)
"8081",Failure Resistant Systems(FRS)
"8082",CISE-MPS QIS Faculty Program
"8083",Big Data Science &Engineering
"8084",CDS&E
"8085",Systems Science (SYS)
"8086",Design of Eng Materials (DEMS)
"8087",SEES Hazards
"8088",SEES Coastal
"8089",Space Weather Research
"8090",CIF21-IGERT
"8091",SBIR Outreach & Tech. Assist
"8092",Materials Eng. & Processing
"8093",European Open Research Area
"8100",""
"8101",INDIA
"8105",NPGI PostDoc Rsrch Fellowship
"8109",ArcSEES
"8110",""
"8111",""
"8112",""
"8113",""
"8114",""
"8115",""
"8116",""
"8117",""
"8118",""
"8119",""
"8120",""
"8121",""
"8123",""
"8124",""
"8125",""
"8127",""
"8128",""
"8129",""
"8130",""
"8131",""
"8132",""
"8134",""
"8135",""
"8136",""
"8137",""
"8138",""
"8139",""
"8140",""
"8141",""
"8142",""
"8143",""
"8144",""
"8145",""
"8146",""
"8147",""
"8148",""
"8149",""
"8150",""
"8151",""
"8153",""
"8154",""
"8155",""
"8156",""
"8157",""
"8158",""
"8159",""
"8160",""
"8161",""
"8162",""
"8163",""
"8164",""
"8165",""
"8166",""
"8167",""
"8168",""
"8169",""
"8170",""
"8172",""
"8173",""
"8174",""
"8175",""
"8176",""
"8177",""
"8178",NASA-TERRESTRIAL & LIMNETIC
"8179",""
"8180",""
"8182",""
"8183",""
"8185",""
"8186",""
"8189",""
"8190",""
"8191",""
"8192",""
"8193",""
"8197",""
"8203",F.Y. 1973 PROJECTS
"8204",F.Y. 1974 PROJECTS
"8205",OCE Postdoctoral Fellowships
"8206",OCE Research Initiation Grant
"8208",SPRF-Broadening Participation
"8209",SPRF-IBSS
"8210",Intl Bio Postdoc Res Fellowshp
"8211",CyberSEES
"8212",INTEGRATED EARTH SYSTEMS
"8213",Interdiscp Behav&SocSci IBSS
"8221",EGYPT (DOE)
"8222",PAKISTAN (DOE)
"8230",INT PHASE OF OC DRIL-PROG SUPP
"8235",SCIENCE OF GLOBAL CHANGE
"8239",INTERRIDGE
"8240",INTERNATIONAL PHASE OF OCEAN D
"8241",GEMINI TELESCOPES-CONSTRUCTION
"8243",TRANS TO QUAL ORG PROG-PROGRAM
"8246",GEMINI TELESCOPES-OPERATIONS
"8247",GEMINI TELESCOPES-PROGRAM SUPP
"8250",NSF TRUST FUND 49X8960
"8251",GENERAL TRUST FUND
"8252",NATO DONATIONS FOR FELLOWSHIPS
"8253",U.S.S.R. DEEP SEA DRILLING
"8254",GERMANY DEEP SEA DRILLING
"8257",TOKYO DEEP SEA DRILLING
"8258",ENGLAND DEEP SEA DRILLING
"8262",U.S.CIV R&D FDN FOR THE INDEP
"8265",DEEP SUBMERGENCE SURVEY
"8266",OCEAN MARGINS STUDIES
"8268","""CGP FUND"
"8269","""CGP FUND"
"8270",JAPAN-U.S. FELLOWSHIPS PROG-RE
"8271",LONG TERM VISITORS
"8272",U. S. PROGRAM COSTS
"8273",JAPAN-U.S. FELLOWSHIP ON-SITE
"8277",TAIWAN ROCKET (NCAR)
"8278",NATO SCIENCE POLICY INTERNSHIP
"8279",GEMINI TELESCOPES-CHILEAN ACCT
"8280",INTEGRATED OCEAN DRILLING PROG
"8281",Jobs Council
"8282",EGYPT (NOAA)
"8283",Exploiting Parallel&Scalabilty
"8284",INDIA (NOAA)
"8285",PAKISTAN (NOAA)
"8286",REG ADRIATIC COOPRSRCH CSTLOCN
"8288",BM Gates Foundation
"8290",Theor & Comp Astrophys Netwk
"8291",SEES Ship Operations
"8292",DMREF
"8294",Data Infrastructure
"8301",International Ocean Discovery
"8330",INT & PVT PHASE OF OCEAN MAR D
"835",""
"8370",OCEAN DRILL PRO-INTERNAT FUNDS
"8374",DDRI Linguistics
"8375",SHIP SCHEDULING DATABASE
"8390",NSF SCIENCE WEEK ACTIVITIES
"8392",NSF 50TH ANNIVERSARY ACTIVITI
"8393",""
"8394",""
"8400",""
"8401",""
"8402",""
"8403",""
"8404",""
"8405",""
"8407",""
"8409",""
"8410",""
"8411",""
"8412",""
"8414",""
"8415",""
"8417",""
"8418",""
"8420",""
"8421",""
"8422",""
"8423",""
"8424",""
"8427",""
"8429",""
"8430",""
"8431",""
"8432",""
"8433",""
"8434",""
"8435",""
"8436",""
"8437",""
"8438",""
"8440",""
"8442",""
"8443",""
"8444",""
"8445",""
"8446",""
"8447",""
"8448",""
"8449",""
"8450",""
"8451",""
"8452",""
"8453",""
"8454",""
"8455",""
"8456",""
"8458",""
"8459",""
"8460",""
"8461",""
"8462",""
"8463",""
"8464",""
"8465",""
"8466",""
"8467",""
"8468",""
"8469",""
"8470",""
"8471",""
"8472",""
"8473",""
"8474",""
"8475",""
"8476",""
"8477",""
"8478",""
"8479",""
"8480",""
"8481",""
"8482",""
"8483",""
"8484",""
"8485",""
"8486",""
"8487",""
"8488",""
"8490",""
"8491",""
"8492",""
"8495",""
"8496",""
"8497",""
"8498",""
